"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Upper West Side,Asian,2009,Number,965,107
Upper West Side,Black,2009,Number,435,107
Upper West Side,Latino,2009,Number,1271,107
Upper West Side,White,2009,Number,838,107
Upper East Side,Asian,2009,Number,40,108
Upper East Side,Black,2009,Number,414,108
Upper East Side,Latino,2009,Number,214,108
Upper East Side,White,2009,Number,810,108
Manhattanville,Asian,2009,Number,304,109
Manhattanville,Black,2009,Number,1360,109
Manhattanville,Latino,2009,Number,5317,109
Manhattanville,White,2009,Number,467,109
Central Harlem,Asian,2009,Number,514,110
Central Harlem,Black,2009,Number,5732,110
Central Harlem,Latino,2009,Number,3878,110
Central Harlem,White,2009,Number,93,110
East Harlem,Asian,2009,Number,360,111
East Harlem,Black,2009,Number,2401,111
East Harlem,Latino,2009,Number,6749,111
East Harlem,White,2009,Number,33,111
Washington Heights,Asian,2009,Number,0,112
Washington Heights,Black,2009,Number,658,112
Washington Heights,Latino,2009,Number,13130,112
Washington Heights,White,2009,Number,507,112
Mott Haven,Asian,2009,Number,63.01666,201
Mott Haven,Black,2009,Number,4706.51662,201
Mott Haven,Latino,2009,Number,10839.50114,201
Mott Haven,White,2009,Number,255.88581,201
Hunts Point,Asian,2009,Number,35.98335,202
Hunts Point,Black,2009,Number,2687.48338,202
Hunts Point,Latino,2009,Number,6189.49886,202
Hunts Point,White,2009,Number,146.11419,202
Morrisania,Asian,2009,Number,74.85485,203
Morrisania,Black,2009,Number,3203.59183,203
Morrisania,Latino,2009,Number,8095.08711,203
Morrisania,White,2009,Number,46.4785,203
Concourse/Highbridge,Asian,2009,Number,235,204
Concourse/Highbridge,Black,2009,Number,5447,204
Concourse/Highbridge,Latino,2009,Number,15487,204
Concourse/Highbridge,White,2009,Number,398,204
University Heights,Asian,2009,Number,96,205
University Heights,Black,2009,Number,6528,205
University Heights,Latino,2009,Number,14702,205
University Heights,White,2009,Number,76,205
East Tremont,Asian,2009,Number,78.14515,206
East Tremont,Black,2009,Number,3344.40817,206
East Tremont,Latino,2009,Number,8450.91289,206
East Tremont,White,2009,Number,48.5215,206
Bedford Park,Asian,2009,Number,414,207
Bedford Park,Black,2009,Number,3102,207
Bedford Park,Latino,2009,Number,12150,207
Bedford Park,White,2009,Number,384,207
Riverdale,Asian,2009,Number,69,208
Riverdale,Black,2009,Number,663,208
Riverdale,Latino,2009,Number,5333,208
Riverdale,White,2009,Number,317,208
Unionport/Soundview,Asian,2009,Number,966,209
Unionport/Soundview,Black,2009,Number,3111,209
Unionport/Soundview,Latino,2009,Number,10700,209
Unionport/Soundview,White,2009,Number,52,209
Throgs Neck,Asian,2009,Number,236,210
Throgs Neck,Black,2009,Number,264,210
Throgs Neck,Latino,2009,Number,2861,210
Throgs Neck,White,2009,Number,821,210
Pelham Parkway,Asian,2009,Number,1017,211
Pelham Parkway,Black,2009,Number,1692,211
Pelham Parkway,Latino,2009,Number,4185,211
Pelham Parkway,White,2009,Number,744,211
Williamsbridge,Asian,2009,Number,350,212
Williamsbridge,Black,2009,Number,4986,212
Williamsbridge,Latino,2009,Number,3996,212
Williamsbridge,White,2009,Number,120,212
Williamsburg/Greenpoint,Asian,2009,Number,309,301
Williamsburg/Greenpoint,Black,2009,Number,847,301
Williamsburg/Greenpoint,Latino,2009,Number,3382,301
Williamsburg/Greenpoint,White,2009,Number,12659,301
Fort Greene/Brooklyn Hts,Asian,2009,Number,420,302
Fort Greene/Brooklyn Hts,Black,2009,Number,2376,302
Fort Greene/Brooklyn Hts,Latino,2009,Number,2644,302
Fort Greene/Brooklyn Hts,White,2009,Number,837,302
Bedford Stuyvesant,Asian,2009,Number,484,303
Bedford Stuyvesant,Black,2009,Number,9047,303
Bedford Stuyvesant,Latino,2009,Number,3742,303
Bedford Stuyvesant,White,2009,Number,5879,303
Bushwick,Asian,2009,Number,302,304
Bushwick,Black,2009,Number,4119,304
Bushwick,Latino,2009,Number,10173,304
Bushwick,White,2009,Number,336,304
East New York,Asian,2009,Number,621,305
East New York,Black,2009,Number,8637,305
East New York,Latino,2009,Number,7795,305
East New York,White,2009,Number,49,305
Park Slope,Asian,2009,Number,41,306
Park Slope,Black,2009,Number,872,306
Park Slope,Latino,2009,Number,1158,306
Park Slope,White,2009,Number,437,306
Sunset Park,Asian,2009,Number,4311,307
Sunset Park,Black,2009,Number,194,307
Sunset Park,Latino,2009,Number,7283,307
Sunset Park,White,2009,Number,985,307
Crown Heights North,Asian,2009,Number,124,308
Crown Heights North,Black,2009,Number,7357,308
Crown Heights North,Latino,2009,Number,2078,308
Crown Heights North,White,2009,Number,1086,308
Crown Heights South,Asian,2009,Number,46,309
Crown Heights South,Black,2009,Number,4560,309
Crown Heights South,Latino,2009,Number,987,309
Crown Heights South,White,2009,Number,1565,309
Bay Ridge,Asian,2009,Number,1501,310
Bay Ridge,Black,2009,Number,130,310
Bay Ridge,Latino,2009,Number,1117,310
Bay Ridge,White,2009,Number,2243,310
Bensonhurst,Asian,2009,Number,3136,311
Bensonhurst,Black,2009,Number,67,311
Bensonhurst,Latino,2009,Number,1011,311
Bensonhurst,White,2009,Number,2423,311
Borough Park,Asian,2009,Number,2424,312
Borough Park,Black,2009,Number,121,312
Borough Park,Latino,2009,Number,1777,312
Borough Park,White,2009,Number,17397,312
Coney Island,Asian,2009,Number,623,313
Coney Island,Black,2009,Number,639,313
Coney Island,Latino,2009,Number,1843,313
Coney Island,White,2009,Number,826,313
Flatbush/Midwood,Asian,2009,Number,884,314
Flatbush/Midwood,Black,2009,Number,4771,314
Flatbush/Midwood,Latino,2009,Number,2920,314
Flatbush/Midwood,White,2009,Number,3581,314
Sheepshead Bay,Asian,2009,Number,965,315
Sheepshead Bay,Black,2009,Number,306,315
Sheepshead Bay,Latino,2009,Number,1153,315
Sheepshead Bay,White,2009,Number,1507,315
Brownsville,Asian,2009,Number,0,316
Brownsville,Black,2009,Number,10658,316
Brownsville,Latino,2009,Number,6467,316
Brownsville,White,2009,Number,0,316
East Flatbush,Asian,2009,Number,0,317
East Flatbush,Black,2009,Number,4750,317
East Flatbush,Latino,2009,Number,332,317
East Flatbush,White,2009,Number,0,317
Canarsie,Asian,2009,Number,217,318
Canarsie,Black,2009,Number,2958,318
Canarsie,Latino,2009,Number,1078,318
Canarsie,White,2009,Number,1333,318
Astoria,Asian,2009,Number,1136,401
Astoria,Black,2009,Number,706,401
Astoria,Latino,2009,Number,3028,401
Astoria,White,2009,Number,1741,401
Sunnyside/Woodside,Asian,2009,Number,1189,402
Sunnyside/Woodside,Black,2009,Number,29,402
Sunnyside/Woodside,Latino,2009,Number,1355,402
Sunnyside/Woodside,White,2009,Number,254,402
Jackson Heights,Asian,2009,Number,2111,403
Jackson Heights,Black,2009,Number,652,403
Jackson Heights,Latino,2009,Number,5134,403
Jackson Heights,White,2009,Number,215,403
Elmhurst/Corona,Asian,2009,Number,3025,404
Elmhurst/Corona,Black,2009,Number,119,404
Elmhurst/Corona,Latino,2009,Number,4653,404
Elmhurst/Corona,White,2009,Number,283,404
Ridgewood/Glendale,Asian,2009,Number,865,405
Ridgewood/Glendale,Black,2009,Number,0,405
Ridgewood/Glendale,Latino,2009,Number,4326,405
Ridgewood/Glendale,White,2009,Number,1646,405
Rego Park/Forest Hills,Asian,2009,Number,159,406
Rego Park/Forest Hills,Black,2009,Number,0,406
Rego Park/Forest Hills,Latino,2009,Number,143,406
Rego Park/Forest Hills,White,2009,Number,704,406
Flushing,Asian,2009,Number,3006,407
Flushing,Black,2009,Number,210,407
Flushing,Latino,2009,Number,1442,407
Flushing,White,2009,Number,1242,407
Fresh Meadows/Briarwood,Asian,2009,Number,1144,408
Fresh Meadows/Briarwood,Black,2009,Number,775,408
Fresh Meadows/Briarwood,Latino,2009,Number,1175,408
Fresh Meadows/Briarwood,White,2009,Number,1350,408
Woodhaven,Asian,2009,Number,1527,409
Woodhaven,Black,2009,Number,187,409
Woodhaven,Latino,2009,Number,2793,409
Woodhaven,White,2009,Number,617,409
Howard Beach,Asian,2009,Number,1255,410
Howard Beach,Black,2009,Number,857,410
Howard Beach,Latino,2009,Number,1343,410
Howard Beach,White,2009,Number,1124,410
Bayside,Asian,2009,Number,1267,411
Bayside,Black,2009,Number,91,411
Bayside,Latino,2009,Number,128,411
Bayside,White,2009,Number,665,411
Jamaica/St. Albans,Asian,2009,Number,976,412
Jamaica/St. Albans,Black,2009,Number,6696,412
Jamaica/St. Albans,Latino,2009,Number,2965,412
Jamaica/St. Albans,White,2009,Number,216,412
Queens Village,Asian,2009,Number,386,413
Queens Village,Black,2009,Number,1677,413
Queens Village,Latino,2009,Number,900,413
Queens Village,White,2009,Number,449,413
The Rockaways,Asian,2009,Number,0,414
The Rockaways,Black,2009,Number,3338,414
The Rockaways,Latino,2009,Number,2805,414
The Rockaways,White,2009,Number,335,414
St. George,Asian,2009,Number,443,501
St. George,Black,2009,Number,4228,501
St. George,Latino,2009,Number,4157,501
St. George,White,2009,Number,2200,501
South Beach,Asian,2009,Number,500,502
South Beach,Black,2009,Number,238,502
South Beach,Latino,2009,Number,1288,502
South Beach,White,2009,Number,1462,502
Tottenville,Asian,2009,Number,131,503
Tottenville,Black,2009,Number,0,503
Tottenville,Latino,2009,Number,166,503
Tottenville,White,2009,Number,1053,503
Bronx,Asian,2009,Number,3635,36005
Bronx,Black,2009,Number,39735,36005
Bronx,Latino,2009,Number,102989,36005
Bronx,White,2009,Number,3409,36005
Brooklyn,Asian,2009,Number,16408,36047
Brooklyn,Black,2009,Number,62409,36047
Brooklyn,Latino,2009,Number,56940,36047
Brooklyn,White,2009,Number,53143,36047
Manhattan,Asian,2009,Number,7437,36061
Manhattan,Black,2009,Number,12215,36061
Manhattan,Latino,2009,Number,34735,36061
Manhattan,White,2009,Number,4532,36061
Queens,Asian,2009,Number,18046,36081
Queens,Black,2009,Number,15337,36081
Queens,Latino,2009,Number,32190,36081
Queens,White,2009,Number,10841,36081
Staten Island,Asian,2009,Number,1074,36085
Staten Island,Black,2009,Number,4466,36085
Staten Island,Latino,2009,Number,5611,36085
Staten Island,White,2009,Number,4715,36085
New York City,Asian,2009,Number,46600,3651000
New York City,Black,2009,Number,134162,3651000
New York City,Latino,2009,Number,232465,3651000
New York City,White,2009,Number,76640,3651000
Battery Park/Tribeca,Asian,2009,Percent,0.20664,101
Battery Park/Tribeca,Black,2009,Percent,0,101
Battery Park/Tribeca,Latino,2009,Percent,0.10616,101
Battery Park/Tribeca,White,2009,Percent,0.03842,101
Greenwich Village,Asian,2009,Percent,0.20664,102
Greenwich Village,Black,2009,Percent,0,102
Greenwich Village,Latino,2009,Percent,0.10616,102
Greenwich Village,White,2009,Percent,0.03842,102
Lower East Side,Asian,2009,Percent,0.46719,103
Lower East Side,Black,2009,Percent,0.43267,103
Lower East Side,Latino,2009,Percent,0.34125,103
Lower East Side,White,2009,Percent,0.18118,103
Chelsea/Clinton,Asian,2009,Percent,0.18066,104
Chelsea/Clinton,Black,2009,Percent,0.33065,104
Chelsea/Clinton,Latino,2009,Percent,0.44006,104
Chelsea/Clinton,White,2009,Percent,0.04974,104
Midtown Business District,Asian,2009,Percent,0.18066,105
Midtown Business District,Black,2009,Percent,0.33065,105
Midtown Business District,Latino,2009,Percent,0.44006,105
Midtown Business District,White,2009,Percent,0.04974,105
Murray Hill/Stuyvesant,Asian,2009,Percent,0.14593,106
Murray Hill/Stuyvesant,Black,2009,Percent,0.10121,106
Murray Hill/Stuyvesant,Latino,2009,Percent,0.39196,106
Murray Hill/Stuyvesant,White,2009,Percent,0.04459,106
Upper West Side,Asian,2009,Percent,0.42624,107
Upper West Side,Black,2009,Percent,0.21178,107
Upper West Side,Latino,2009,Percent,0.26168,107
Upper West Side,White,2009,Percent,0.03522,107
Upper East Side,Asian,2009,Percent,0.01977,108
Upper East Side,Black,2009,Percent,0.31651,108
Upper East Side,Latino,2009,Percent,0.06928,108
Upper East Side,White,2009,Percent,0.02936,108
Manhattanville,Asian,2009,Percent,0.65236,109
Manhattanville,Black,2009,Percent,0.21904,109
Manhattanville,Latino,2009,Percent,0.43004,109
Manhattanville,White,2009,Percent,0.13443,109
Central Harlem,Asian,2009,Percent,0.5069,110
Central Harlem,Black,2009,Percent,0.32691,110
Central Harlem,Latino,2009,Percent,0.49282,110
Central Harlem,White,2009,Percent,0.05104,110
East Harlem,Asian,2009,Percent,0.29925,111
East Harlem,Black,2009,Percent,0.26899,111
East Harlem,Latino,2009,Percent,0.40945,111
East Harlem,White,2009,Percent,0.02256,111
Washington Heights,Asian,2009,Percent,0,112
Washington Heights,Black,2009,Percent,0.20498,112
Washington Heights,Latino,2009,Percent,0.38189,112
Washington Heights,White,2009,Percent,0.13944,112
Mott Haven,Asian,2009,Percent,0.71739,201
Mott Haven,Black,2009,Percent,0.5473,201
Mott Haven,Latino,2009,Percent,0.51648,201
Mott Haven,White,2009,Percent,0.45578,201
Hunts Point,Asian,2009,Percent,0.71739,202
Hunts Point,Black,2009,Percent,0.5473,202
Hunts Point,Latino,2009,Percent,0.51648,202
Hunts Point,White,2009,Percent,0.45578,202
Morrisania,Asian,2009,Percent,0.55435,203
Morrisania,Black,2009,Percent,0.3797,203
Morrisania,Latino,2009,Percent,0.53395,203
Morrisania,White,2009,Percent,0.14095,203
Concourse/Highbridge,Asian,2009,Percent,0.43278,204
Concourse/Highbridge,Black,2009,Percent,0.44324,204
Concourse/Highbridge,Latino,2009,Percent,0.53627,204
Concourse/Highbridge,White,2009,Percent,0.58529,204
University Heights,Asian,2009,Percent,0.17944,205
University Heights,Black,2009,Percent,0.52358,205
University Heights,Latino,2009,Percent,0.49985,205
University Heights,White,2009,Percent,0.26298,205
East Tremont,Asian,2009,Percent,0.55435,206
East Tremont,Black,2009,Percent,0.3797,206
East Tremont,Latino,2009,Percent,0.53395,206
East Tremont,White,2009,Percent,0.14095,206
Bedford Park,Asian,2009,Percent,0.28011,207
Bedford Park,Black,2009,Percent,0.47613,207
Bedford Park,Latino,2009,Percent,0.44659,207
Bedford Park,White,2009,Percent,0.32188,207
Riverdale,Asian,2009,Percent,0.06949,208
Riverdale,Black,2009,Percent,0.26734,208
Riverdale,Latino,2009,Percent,0.39542,208
Riverdale,White,2009,Percent,0.04416,208
Unionport/Soundview,Asian,2009,Percent,0.28767,209
Unionport/Soundview,Black,2009,Percent,0.21354,209
Unionport/Soundview,Latino,2009,Percent,0.37667,209
Unionport/Soundview,White,2009,Percent,0.0767,209
Throgs Neck,Asian,2009,Percent,0.25459,210
Throgs Neck,Black,2009,Percent,0.04389,210
Throgs Neck,Latino,2009,Percent,0.28324,210
Throgs Neck,White,2009,Percent,0.12152,210
Pelham Parkway,Asian,2009,Percent,0.35178,211
Pelham Parkway,Black,2009,Percent,0.25812,211
Pelham Parkway,Latino,2009,Percent,0.27759,211
Pelham Parkway,White,2009,Percent,0.12989,211
Williamsbridge,Asian,2009,Percent,0.50725,212
Williamsbridge,Black,2009,Percent,0.1836,212
Williamsbridge,Latino,2009,Percent,0.41132,212
Williamsbridge,White,2009,Percent,0.07143,212
Williamsburg/Greenpoint,Asian,2009,Percent,0.21669,301
Williamsburg/Greenpoint,Black,2009,Percent,0.47187,301
Williamsburg/Greenpoint,Latino,2009,Percent,0.39491,301
Williamsburg/Greenpoint,White,2009,Percent,0.51011,301
Fort Greene/Brooklyn Hts,Asian,2009,Percent,0.46512,302
Fort Greene/Brooklyn Hts,Black,2009,Percent,0.31255,302
Fort Greene/Brooklyn Hts,Latino,2009,Percent,0.59256,302
Fort Greene/Brooklyn Hts,White,2009,Percent,0.12332,302
Bedford Stuyvesant,Asian,2009,Percent,0.39543,303
Bedford Stuyvesant,Black,2009,Percent,0.41044,303
Bedford Stuyvesant,Latino,2009,Percent,0.49295,303
Bedford Stuyvesant,White,2009,Percent,0.63351,303
Bushwick,Asian,2009,Percent,0.3818,304
Bushwick,Black,2009,Percent,0.52199,304
Bushwick,Latino,2009,Percent,0.37929,304
Bushwick,White,2009,Percent,0.35556,304
East New York,Asian,2009,Percent,0.27885,305
East New York,Black,2009,Percent,0.36523,305
East New York,Latino,2009,Percent,0.40686,305
East New York,White,2009,Percent,0.06882,305
Park Slope,Asian,2009,Percent,0.03528,306
Park Slope,Black,2009,Percent,0.46907,306
Park Slope,Latino,2009,Percent,0.24075,306
Park Slope,White,2009,Percent,0.03506,306
Sunset Park,Asian,2009,Percent,0.40506,307
Sunset Park,Black,2009,Percent,0.18908,307
Sunset Park,Latino,2009,Percent,0.38173,307
Sunset Park,White,2009,Percent,0.16927,307
Crown Heights North,Asian,2009,Percent,0.27741,308
Crown Heights North,Black,2009,Percent,0.35164,308
Crown Heights North,Latino,2009,Percent,0.49796,308
Crown Heights North,White,2009,Percent,0.30117,308
Crown Heights South,Asian,2009,Percent,0.4381,309
Crown Heights South,Black,2009,Percent,0.25412,309
Crown Heights South,Latino,2009,Percent,0.3948,309
Crown Heights South,White,2009,Percent,0.2702,309
Bay Ridge,Asian,2009,Percent,0.23282,310
Bay Ridge,Black,2009,Percent,0.42904,310
Bay Ridge,Latino,2009,Percent,0.25767,310
Bay Ridge,White,2009,Percent,0.16271,310
Bensonhurst,Asian,2009,Percent,0.19023,311
Bensonhurst,Black,2009,Percent,0.25379,311
Bensonhurst,Latino,2009,Percent,0.16386,311
Bensonhurst,White,2009,Percent,0.18109,311
Borough Park,Asian,2009,Percent,0.39511,312
Borough Park,Black,2009,Percent,0.13282,312
Borough Park,Latino,2009,Percent,0.34707,312
Borough Park,White,2009,Percent,0.36651,312
Coney Island,Asian,2009,Percent,0.20273,313
Coney Island,Black,2009,Percent,0.20917,313
Coney Island,Latino,2009,Percent,0.39626,313
Coney Island,White,2009,Percent,0.12142,313
Flatbush/Midwood,Asian,2009,Percent,0.23983,314
Flatbush/Midwood,Black,2009,Percent,0.33632,314
Flatbush/Midwood,Latino,2009,Percent,0.40243,314
Flatbush/Midwood,White,2009,Percent,0.19703,314
Sheepshead Bay,Asian,2009,Percent,0.20299,315
Sheepshead Bay,Black,2009,Percent,0.21748,315
Sheepshead Bay,Latino,2009,Percent,0.36088,315
Sheepshead Bay,White,2009,Percent,0.07238,315
Brownsville,Asian,2009,Percent,0,316
Brownsville,Black,2009,Percent,0.38909,316
Brownsville,Latino,2009,Percent,0.6362,316
Brownsville,White,2009,Percent,0,316
East Flatbush,Asian,2009,Percent,0,317
East Flatbush,Black,2009,Percent,0.16701,317
East Flatbush,Latino,2009,Percent,0.11951,317
East Flatbush,White,2009,Percent,0,317
Canarsie,Asian,2009,Percent,0.16291,318
Canarsie,Black,2009,Percent,0.08966,318
Canarsie,Latino,2009,Percent,0.27229,318
Canarsie,White,2009,Percent,0.10426,318
Astoria,Asian,2009,Percent,0.25403,401
Astoria,Black,2009,Percent,0.39486,401
Astoria,Latino,2009,Percent,0.25909,401
Astoria,White,2009,Percent,0.19077,401
Sunnyside/Woodside,Asian,2009,Percent,0.12112,402
Sunnyside/Woodside,Black,2009,Percent,0.10943,402
Sunnyside/Woodside,Latino,2009,Percent,0.1528,402
Sunnyside/Woodside,White,2009,Percent,0.06475,402
Jackson Heights,Asian,2009,Percent,0.29364,403
Jackson Heights,Black,2009,Percent,0.32946,403
Jackson Heights,Latino,2009,Percent,0.19103,403
Jackson Heights,White,2009,Percent,0.07913,403
Elmhurst/Corona,Asian,2009,Percent,0.30335,404
Elmhurst/Corona,Black,2009,Percent,0.04919,404
Elmhurst/Corona,Latino,2009,Percent,0.2498,404
Elmhurst/Corona,White,2009,Percent,0.19517,404
Ridgewood/Glendale,Asian,2009,Percent,0.2852,405
Ridgewood/Glendale,Black,2009,Percent,0,405
Ridgewood/Glendale,Latino,2009,Percent,0.23628,405
Ridgewood/Glendale,White,2009,Percent,0.09479,405
Rego Park/Forest Hills,Asian,2009,Percent,0.02632,406
Rego Park/Forest Hills,Black,2009,Percent,0,406
Rego Park/Forest Hills,Latino,2009,Percent,0.04902,406
Rego Park/Forest Hills,White,2009,Percent,0.06669,406
Flushing,Asian,2009,Percent,0.15361,407
Flushing,Black,2009,Percent,0.2323,407
Flushing,Latino,2009,Percent,0.14166,407
Flushing,White,2009,Percent,0.08408,407
Fresh Meadows/Briarwood,Asian,2009,Percent,0.10544,408
Fresh Meadows/Briarwood,Black,2009,Percent,0.18661,408
Fresh Meadows/Briarwood,Latino,2009,Percent,0.1937,408
Fresh Meadows/Briarwood,White,2009,Percent,0.11156,408
Woodhaven,Asian,2009,Percent,0.15382,409
Woodhaven,Black,2009,Percent,0.06683,409
Woodhaven,Latino,2009,Percent,0.16344,409
Woodhaven,White,2009,Percent,0.12751,409
Howard Beach,Asian,2009,Percent,0.18303,410
Howard Beach,Black,2009,Percent,0.13418,410
Howard Beach,Latino,2009,Percent,0.14889,410
Howard Beach,White,2009,Percent,0.2248,410
Bayside,Asian,2009,Percent,0.11843,411
Bayside,Black,2009,Percent,0.13684,411
Bayside,Latino,2009,Percent,0.03761,411
Bayside,White,2009,Percent,0.06413,411
Jamaica/St. Albans,Asian,2009,Percent,0.15083,412
Jamaica/St. Albans,Black,2009,Percent,0.19615,412
Jamaica/St. Albans,Latino,2009,Percent,0.32006,412
Jamaica/St. Albans,White,2009,Percent,0.4977,412
Queens Village,Asian,2009,Percent,0.045,413
Queens Village,Black,2009,Percent,0.06408,413
Queens Village,Latino,2009,Percent,0.15175,413
Queens Village,White,2009,Percent,0.11938,413
The Rockaways,Asian,2009,Percent,0,414
The Rockaways,Black,2009,Percent,0.27512,414
The Rockaways,Latino,2009,Percent,0.38446,414
The Rockaways,White,2009,Percent,0.0321,414
St. George,Asian,2009,Percent,0.12949,501
St. George,Black,2009,Percent,0.33291,501
St. George,Latino,2009,Percent,0.29655,501
St. George,White,2009,Percent,0.15901,501
South Beach,Asian,2009,Percent,0.16015,502
South Beach,Black,2009,Percent,0.20412,502
South Beach,Latino,2009,Percent,0.23174,502
South Beach,White,2009,Percent,0.06924,502
Tottenville,Asian,2009,Percent,0.08474,503
Tottenville,Black,2009,Percent,0,503
Tottenville,Latino,2009,Percent,0.0324,503
Tottenville,White,2009,Percent,0.03559,503
Bronx,Asian,2009,Percent,0.3073,36005
Bronx,Black,2009,Percent,0.33446,36005
Bronx,Latino,2009,Percent,0.45521,36005
Bronx,White,2009,Percent,0.13245,36005
Brooklyn,Asian,2009,Percent,0.26686,36047
Brooklyn,Black,2009,Percent,0.29207,36047
Brooklyn,Latino,2009,Percent,0.39327,36047
Brooklyn,White,2009,Percent,0.2608,36047
Manhattan,Asian,2009,Percent,0.34048,36061
Manhattan,Black,2009,Percent,0.2852,36061
Manhattan,Latino,2009,Percent,0.38054,36061
Manhattan,White,2009,Percent,0.04944,36061
Queens,Asian,2009,Percent,0.15878,36081
Queens,Black,2009,Percent,0.16279,36081
Queens,Latino,2009,Percent,0.20697,36081
Queens,White,2009,Percent,0.10146,36081
Staten Island,Asian,2009,Percent,0.13277,36085
Staten Island,Black,2009,Percent,0.31895,36085
Staten Island,Latino,2009,Percent,0.22717,36085
Staten Island,White,2009,Percent,0.07306,36085
New York City,Asian,2009,Percent,0.21485,3651000
New York City,Black,2009,Percent,0.27747,3651000
New York City,Latino,2009,Percent,0.36179,3651000
New York City,White,2009,Percent,0.15559,3651000
Battery Park/Tribeca,Asian,2010,Number,205.96037,101
Battery Park/Tribeca,Black,2010,Number,0,101
Battery Park/Tribeca,Latino,2010,Number,70.26883,101
Battery Park/Tribeca,White,2010,Number,206.36421,101
Greenwich Village,Asian,2010,Number,304.03963,102
Greenwich Village,Black,2010,Number,0,102
Greenwich Village,Latino,2010,Number,103.73117,102
Greenwich Village,White,2010,Number,304.63579,102
Lower East Side,Asian,2010,Number,2950,103
Lower East Side,Black,2010,Number,573,103
Lower East Side,Latino,2010,Number,2781,103
Lower East Side,White,2010,Number,293,103
Chelsea/Clinton,Asian,2010,Number,111.29704,104
Chelsea/Clinton,Black,2010,Number,120.62733,104
Chelsea/Clinton,Latino,2010,Number,533.15948,104
Chelsea/Clinton,White,2010,Number,116.62864,104
Midtown Business District,Asian,2010,Number,55.70296,105
Midtown Business District,Black,2010,Number,60.37267,105
Midtown Business District,Latino,2010,Number,266.84052,105
Midtown Business District,White,2010,Number,58.37136,105
Murray Hill/Stuyvesant,Asian,2010,Number,206,106
Murray Hill/Stuyvesant,Black,2010,Number,43,106
Murray Hill/Stuyvesant,Latino,2010,Number,239,106
Murray Hill/Stuyvesant,White,2010,Number,52,106
Upper West Side,Asian,2010,Number,944,107
Upper West Side,Black,2010,Number,717,107
Upper West Side,Latino,2010,Number,1457,107
Upper West Side,White,2010,Number,286,107
Upper East Side,Asian,2010,Number,43,108
Upper East Side,Black,2010,Number,302,108
Upper East Side,Latino,2010,Number,382,108
Upper East Side,White,2010,Number,647,108
Manhattanville,Asian,2010,Number,0,109
Manhattanville,Black,2010,Number,1758,109
Manhattanville,Latino,2010,Number,6351,109
Manhattanville,White,2010,Number,490,109
Central Harlem,Asian,2010,Number,493,110
Central Harlem,Black,2010,Number,4725,110
Central Harlem,Latino,2010,Number,3896,110
Central Harlem,White,2010,Number,109,110
East Harlem,Asian,2010,Number,275,111
East Harlem,Black,2010,Number,2720,111
East Harlem,Latino,2010,Number,6911,111
East Harlem,White,2010,Number,298,111
Washington Heights,Asian,2010,Number,0,112
Washington Heights,Black,2010,Number,256,112
Washington Heights,Latino,2010,Number,10556,112
Washington Heights,White,2010,Number,441,112
Mott Haven,Asian,2010,Number,50.92255,201
Mott Haven,Black,2010,Number,4772.71593,201
Mott Haven,Latino,2010,Number,9852.24022,201
Mott Haven,White,2010,Number,231.6976,201
Hunts Point,Asian,2010,Number,29.07745,202
Hunts Point,Black,2010,Number,2725.28407,202
Hunts Point,Latino,2010,Number,5625.75978,202
Hunts Point,White,2010,Number,132.3024,202
Morrisania,Asian,2010,Number,0,203
Morrisania,Black,2010,Number,2889.49501,203
Morrisania,Latino,2010,Number,9313.80233,203
Morrisania,White,2010,Number,158.51615,203
Concourse/Highbridge,Asian,2010,Number,262,204
Concourse/Highbridge,Black,2010,Number,4218,204
Concourse/Highbridge,Latino,2010,Number,14725,204
Concourse/Highbridge,White,2010,Number,332,204
University Heights,Asian,2010,Number,23,205
University Heights,Black,2010,Number,5535,205
University Heights,Latino,2010,Number,14949,205
University Heights,White,2010,Number,64,205
East Tremont,Asian,2010,Number,0,206
East Tremont,Black,2010,Number,3016.50499,206
East Tremont,Latino,2010,Number,9723.19767,206
East Tremont,White,2010,Number,165.48385,206
Bedford Park,Asian,2010,Number,711,207
Bedford Park,Black,2010,Number,2692,207
Bedford Park,Latino,2010,Number,10130,207
Bedford Park,White,2010,Number,630,207
Riverdale,Asian,2010,Number,65,208
Riverdale,Black,2010,Number,637,208
Riverdale,Latino,2010,Number,4869,208
Riverdale,White,2010,Number,365,208
Unionport/Soundview,Asian,2010,Number,1308,209
Unionport/Soundview,Black,2010,Number,3156,209
Unionport/Soundview,Latino,2010,Number,10437,209
Unionport/Soundview,White,2010,Number,0,209
Throgs Neck,Asian,2010,Number,225,210
Throgs Neck,Black,2010,Number,1116,210
Throgs Neck,Latino,2010,Number,3288,210
Throgs Neck,White,2010,Number,611,210
Pelham Parkway,Asian,2010,Number,848,211
Pelham Parkway,Black,2010,Number,1039,211
Pelham Parkway,Latino,2010,Number,5259,211
Pelham Parkway,White,2010,Number,489,211
Williamsbridge,Asian,2010,Number,278,212
Williamsbridge,Black,2010,Number,5572,212
