"Name","Child Poverty by Household Type"
"Description","Children in single parent households are defined as the
biological, adopted, or step children of household
heads in family households where no spouse is present.&nbsp;Other households are those for whom the child's relationship to householder is defined as other relative, foster or unrelated child.&nbsp;Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average.&nbsp;"
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2012 - 2019)."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2019, the FPL for a household consisting of two adults and two children was $25,750. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the children in the selected household type for whom poverty status was determined.&nbsp;"

Location,Household Type,TimeFrame,DataFormat,Data,Fips
Chelsea/Clinton,Single Fathers,2018,Percent,0,104
Chelsea/Clinton,Grandparents,2018,Percent,0.438,104
Chelsea/Clinton,Other,2018,Percent,0,104
Midtown Business District,Married Couples,2018,Percent,0.021,105
Midtown Business District,Single Mothers,2018,Percent,0.434,105
Midtown Business District,Single Fathers,2018,Percent,0,105
Midtown Business District,Grandparents,2018,Percent,0.438,105
Midtown Business District,Other,2018,Percent,0,105
Murray Hill/Stuyvesant,Married Couples,2018,Percent,0.048,106
Murray Hill/Stuyvesant,Single Mothers,2018,Percent,0,106
Murray Hill/Stuyvesant,Single Fathers,2018,Percent,0,106
Murray Hill/Stuyvesant,Grandparents,2018,Percent,0.175,106
Murray Hill/Stuyvesant,Other,2018,Percent,0,106
Upper West Side,Married Couples,2018,Percent,0.016,107
Upper West Side,Single Mothers,2018,Percent,0.37,107
Upper West Side,Single Fathers,2018,Percent,0,107
Upper West Side,Grandparents,2018,Percent,0,107
Upper West Side,Other,2018,Percent,0,107
Upper East Side,Married Couples,2018,Percent,0.01,108
Upper East Side,Single Mothers,2018,Percent,0.301,108
Upper East Side,Single Fathers,2018,Percent,0.056,108
Upper East Side,Grandparents,2018,Percent,0,108
Upper East Side,Other,2018,Percent,0,108
Manhattanville,Married Couples,2018,Percent,0.113,109
Manhattanville,Single Mothers,2018,Percent,0.583,109
Manhattanville,Single Fathers,2018,Percent,0.641,109
Manhattanville,Grandparents,2018,Percent,0.249,109
Manhattanville,Other,2018,Percent,0.318,109
Central Harlem,Married Couples,2018,Percent,0.172,110
Central Harlem,Single Mothers,2018,Percent,0.537,110
Central Harlem,Single Fathers,2018,Percent,0.4,110
Central Harlem,Grandparents,2018,Percent,0.429,110
Central Harlem,Other,2018,Percent,0.093,110
East Harlem,Married Couples,2018,Percent,0.231,111
East Harlem,Single Mothers,2018,Percent,0.693,111
East Harlem,Single Fathers,2018,Percent,0.19,111
East Harlem,Grandparents,2018,Percent,0.452,111
East Harlem,Other,2018,Percent,0.493,111
Washington Heights,Married Couples,2018,Percent,0.201,112
Washington Heights,Single Mothers,2018,Percent,0.432,112
Washington Heights,Single Fathers,2018,Percent,0.222,112
Washington Heights,Grandparents,2018,Percent,0.323,112
Washington Heights,Other,2018,Percent,0.314,112
Mott Haven,Married Couples,2018,Percent,0.357,201
Mott Haven,Single Mothers,2018,Percent,0.672,201
Mott Haven,Single Fathers,2018,Percent,0.294,201
Mott Haven,Grandparents,2018,Percent,0.486,201
Mott Haven,Other,2018,Percent,0.485,201
Hunts Point,Married Couples,2018,Percent,0.357,202
Hunts Point,Single Mothers,2018,Percent,0.672,202
Hunts Point,Single Fathers,2018,Percent,0.294,202
Hunts Point,Grandparents,2018,Percent,0.486,202
Hunts Point,Other,2018,Percent,0.485,202
Morrisania,Married Couples,2018,Percent,0.227,203
Morrisania,Single Mothers,2018,Percent,0.672,203
Morrisania,Single Fathers,2018,Percent,0.477,203
Morrisania,Grandparents,2018,Percent,0.318,203
Morrisania,Other,2018,Percent,0.263,203
Concourse/Highbridge,Married Couples,2018,Percent,0.356,204
Concourse/Highbridge,Single Mothers,2018,Percent,0.632,204
Concourse/Highbridge,Single Fathers,2018,Percent,0.198,204
Concourse/Highbridge,Grandparents,2018,Percent,0.25,204
Concourse/Highbridge,Other,2018,Percent,0.345,204
University Heights,Married Couples,2018,Percent,0.338,205
University Heights,Single Mothers,2018,Percent,0.679,205
University Heights,Single Fathers,2018,Percent,0.152,205
University Heights,Grandparents,2018,Percent,0.41,205
University Heights,Other,2018,Percent,0.425,205
East Tremont,Married Couples,2018,Percent,0.227,206
East Tremont,Single Mothers,2018,Percent,0.672,206
East Tremont,Single Fathers,2018,Percent,0.477,206
East Tremont,Grandparents,2018,Percent,0.318,206
East Tremont,Other,2018,Percent,0.263,206
Bedford Park,Married Couples,2018,Percent,0.357,207
Bedford Park,Single Mothers,2018,Percent,0.591,207
Bedford Park,Single Fathers,2018,Percent,0.252,207
Bedford Park,Grandparents,2018,Percent,0.433,207
Bedford Park,Other,2018,Percent,0.364,207
Riverdale,Married Couples,2018,Percent,0.155,208
Riverdale,Single Mothers,2018,Percent,0.497,208
Riverdale,Single Fathers,2018,Percent,0.409,208
Riverdale,Grandparents,2018,Percent,0.172,208
Riverdale,Other,2018,Percent,0.393,208
Unionport/Soundview,Married Couples,2018,Percent,0.174,209
Unionport/Soundview,Single Mothers,2018,Percent,0.542,209
Unionport/Soundview,Single Fathers,2018,Percent,0.417,209
Unionport/Soundview,Grandparents,2018,Percent,0.297,209
Unionport/Soundview,Other,2018,Percent,0.312,209
Throgs Neck,Married Couples,2018,Percent,0.053,210
Throgs Neck,Single Mothers,2018,Percent,0.403,210
Throgs Neck,Single Fathers,2018,Percent,0.32,210
Throgs Neck,Grandparents,2018,Percent,0.074,210
Throgs Neck,Other,2018,Percent,0.125,210
Pelham Parkway,Married Couples,2018,Percent,0.116,211
Pelham Parkway,Single Mothers,2018,Percent,0.453,211
Pelham Parkway,Single Fathers,2018,Percent,0.234,211
Pelham Parkway,Grandparents,2018,Percent,0.247,211
Pelham Parkway,Other,2018,Percent,0.064,211
Williamsbridge,Married Couples,2018,Percent,0.09,212
Williamsbridge,Single Mothers,2018,Percent,0.469,212
Williamsbridge,Single Fathers,2018,Percent,0.223,212
Williamsbridge,Grandparents,2018,Percent,0.313,212
Williamsbridge,Other,2018,Percent,0.113,212
Williamsburg/Greenpoint,Married Couples,2018,Percent,0.339,301
Williamsburg/Greenpoint,Single Mothers,2018,Percent,0.452,301
Williamsburg/Greenpoint,Single Fathers,2018,Percent,0.133,301
Williamsburg/Greenpoint,Grandparents,2018,Percent,0.032,301
Williamsburg/Greenpoint,Other,2018,Percent,0.56,301
Fort Greene/Brooklyn Hts,Married Couples,2018,Percent,0.085,302
Fort Greene/Brooklyn Hts,Single Mothers,2018,Percent,0.39,302
Fort Greene/Brooklyn Hts,Single Fathers,2018,Percent,0.238,302
Fort Greene/Brooklyn Hts,Grandparents,2018,Percent,0.157,302
Fort Greene/Brooklyn Hts,Other,2018,Percent,0.497,302
Bedford Stuyvesant,Married Couples,2018,Percent,0.344,303
Bedford Stuyvesant,Single Mothers,2018,Percent,0.484,303
Bedford Stuyvesant,Single Fathers,2018,Percent,0.528,303
Bedford Stuyvesant,Grandparents,2018,Percent,0.19,303
Bedford Stuyvesant,Other,2018,Percent,0.26,303
Bushwick,Married Couples,2018,Percent,0.293,304
Bushwick,Single Mothers,2018,Percent,0.645,304
Bushwick,Single Fathers,2018,Percent,0.107,304
Bushwick,Grandparents,2018,Percent,0.417,304
Bushwick,Other,2018,Percent,0.226,304
East New York,Married Couples,2018,Percent,0.194,305
East New York,Single Mothers,2018,Percent,0.487,305
East New York,Single Fathers,2018,Percent,0.152,305
East New York,Grandparents,2018,Percent,0.198,305
East New York,Other,2018,Percent,0.168,305
Park Slope,Married Couples,2018,Percent,0.023,306
Park Slope,Single Mothers,2018,Percent,0.342,306
Park Slope,Single Fathers,2018,Percent,0.204,306
Park Slope,Grandparents,2018,Percent,0.28,306
Park Slope,Other,2018,Percent,0.219,306
Sunset Park,Married Couples,2018,Percent,0.255,307
Sunset Park,Single Mothers,2018,Percent,0.509,307
Sunset Park,Single Fathers,2018,Percent,0.124,307
Sunset Park,Grandparents,2018,Percent,0.473,307
Sunset Park,Other,2018,Percent,0.267,307
Crown Heights North,Married Couples,2018,Percent,0.117,308
Crown Heights North,Single Mothers,2018,Percent,0.431,308
Crown Heights North,Single Fathers,2018,Percent,0.549,308
Crown Heights North,Grandparents,2018,Percent,0.128,308
Crown Heights North,Other,2018,Percent,0.225,308
Crown Heights South,Married Couples,2018,Percent,0.238,309
Crown Heights South,Single Mothers,2018,Percent,0.299,309
Crown Heights South,Single Fathers,2018,Percent,0.229,309
Crown Heights South,Grandparents,2018,Percent,0.128,309
Crown Heights South,Other,2018,Percent,0.313,309
Bay Ridge,Married Couples,2018,Percent,0.176,310
Bay Ridge,Single Mothers,2018,Percent,0.302,310
Bay Ridge,Single Fathers,2018,Percent,0.269,310
Bay Ridge,Grandparents,2018,Percent,0.118,310
Bay Ridge,Other,2018,Percent,0.449,310
Bensonhurst,Married Couples,2018,Percent,0.188,311
Bensonhurst,Single Mothers,2018,Percent,0.346,311
Bensonhurst,Single Fathers,2018,Percent,0.417,311
Bensonhurst,Grandparents,2018,Percent,0.148,311
Bensonhurst,Other,2018,Percent,0.142,311
Borough Park,Married Couples,2018,Percent,0.393,312
Borough Park,Single Mothers,2018,Percent,0.584,312
Borough Park,Single Fathers,2018,Percent,0.585,312
Borough Park,Grandparents,2018,Percent,0.386,312
Borough Park,Other,2018,Percent,0.597,312
Coney Island,Married Couples,2018,Percent,0.273,313
Coney Island,Single Mothers,2018,Percent,0.44,313
Coney Island,Single Fathers,2018,Percent,0.278,313
Coney Island,Grandparents,2018,Percent,0.446,313
Coney Island,Other,2018,Percent,0.161,313
Flatbush/Midwood,Married Couples,2018,Percent,0.17,314
Flatbush/Midwood,Single Mothers,2018,Percent,0.348,314
Flatbush/Midwood,Single Fathers,2018,Percent,0.16,314
Flatbush/Midwood,Grandparents,2018,Percent,0.082,314
Flatbush/Midwood,Other,2018,Percent,0.153,314
Sheepshead Bay,Married Couples,2018,Percent,0.164,315
Sheepshead Bay,Single Mothers,2018,Percent,0.231,315
Sheepshead Bay,Single Fathers,2018,Percent,0.379,315
Sheepshead Bay,Grandparents,2018,Percent,0.161,315
Sheepshead Bay,Other,2018,Percent,0.179,315
Brownsville,Married Couples,2018,Percent,0.231,316
Brownsville,Single Mothers,2018,Percent,0.411,316
Brownsville,Single Fathers,2018,Percent,0.796,316
Brownsville,Grandparents,2018,Percent,0.194,316
Brownsville,Other,2018,Percent,0.144,316
East Flatbush,Married Couples,2018,Percent,0.069,317
East Flatbush,Single Mothers,2018,Percent,0.31,317
East Flatbush,Single Fathers,2018,Percent,0.128,317
East Flatbush,Grandparents,2018,Percent,0.088,317
East Flatbush,Other,2018,Percent,0.167,317
Canarsie,Married Couples,2018,Percent,0.042,318
Canarsie,Single Mothers,2018,Percent,0.307,318
Canarsie,Single Fathers,2018,Percent,0.354,318
Canarsie,Grandparents,2018,Percent,0.029,318
Canarsie,Other,2018,Percent,0.061,318
Astoria,Married Couples,2018,Percent,0.131,401
Astoria,Single Mothers,2018,Percent,0.277,401
Astoria,Single Fathers,2018,Percent,0.065,401
Astoria,Grandparents,2018,Percent,0.155,401
Astoria,Other,2018,Percent,0.297,401
Sunnyside/Woodside,Married Couples,2018,Percent,0.083,402
Sunnyside/Woodside,Single Mothers,2018,Percent,0.167,402
Sunnyside/Woodside,Single Fathers,2018,Percent,0.105,402
Sunnyside/Woodside,Grandparents,2018,Percent,0,402
Sunnyside/Woodside,Other,2018,Percent,0.198,402
Jackson Heights,Married Couples,2018,Percent,0.153,403
Jackson Heights,Single Mothers,2018,Percent,0.483,403
Jackson Heights,Single Fathers,2018,Percent,0.262,403
Jackson Heights,Grandparents,2018,Percent,0.18,403
Jackson Heights,Other,2018,Percent,0.202,403
Elmhurst/Corona,Married Couples,2018,Percent,0.164,404
Elmhurst/Corona,Single Mothers,2018,Percent,0.33,404
Elmhurst/Corona,Single Fathers,2018,Percent,0.106,404
Elmhurst/Corona,Grandparents,2018,Percent,0.161,404
Elmhurst/Corona,Other,2018,Percent,0.396,404
Ridgewood/Glendale,Married Couples,2018,Percent,0.061,405
Ridgewood/Glendale,Single Mothers,2018,Percent,0.228,405
Ridgewood/Glendale,Single Fathers,2018,Percent,0.152,405
Ridgewood/Glendale,Grandparents,2018,Percent,0.082,405
Ridgewood/Glendale,Other,2018,Percent,0.241,405
Rego Park/Forest Hills,Married Couples,2018,Percent,0.064,406
Rego Park/Forest Hills,Single Mothers,2018,Percent,0.213,406
Rego Park/Forest Hills,Single Fathers,2018,Percent,0.159,406
Rego Park/Forest Hills,Grandparents,2018,Percent,0,406
Rego Park/Forest Hills,Other,2018,Percent,0.31,406
Flushing,Married Couples,2018,Percent,0.123,407
Flushing,Single Mothers,2018,Percent,0.254,407
Flushing,Single Fathers,2018,Percent,0.21,407
Flushing,Grandparents,2018,Percent,0.238,407
Flushing,Other,2018,Percent,0.352,407
Fresh Meadows/Briarwood,Married Couples,2018,Percent,0.138,408
Fresh Meadows/Briarwood,Single Mothers,2018,Percent,0.234,408
Fresh Meadows/Briarwood,Single Fathers,2018,Percent,0.063,408
Fresh Meadows/Briarwood,Grandparents,2018,Percent,0.196,408
Fresh Meadows/Briarwood,Other,2018,Percent,0.293,408
Woodhaven,Married Couples,2018,Percent,0.139,409
Woodhaven,Single Mothers,2018,Percent,0.338,409
Woodhaven,Single Fathers,2018,Percent,0.088,409
Woodhaven,Grandparents,2018,Percent,0.095,409
Woodhaven,Other,2018,Percent,0.181,409
Howard Beach,Married Couples,2018,Percent,0.092,410
Howard Beach,Single Mothers,2018,Percent,0.244,410
Howard Beach,Single Fathers,2018,Percent,0.117,410
Howard Beach,Grandparents,2018,Percent,0.094,410
Howard Beach,Other,2018,Percent,0.251,410
Bayside,Married Couples,2018,Percent,0.058,411
Bayside,Single Mothers,2018,Percent,0.254,411
Bayside,Single Fathers,2018,Percent,0.088,411
Bayside,Grandparents,2018,Percent,0.158,411
Bayside,Other,2018,Percent,0.06,411
Jamaica/St. Albans,Married Couples,2018,Percent,0.094,412
Jamaica/St. Albans,Single Mothers,2018,Percent,0.262,412
Jamaica/St. Albans,Single Fathers,2018,Percent,0.329,412
Jamaica/St. Albans,Grandparents,2018,Percent,0.077,412
Jamaica/St. Albans,Other,2018,Percent,0.161,412
Queens Village,Married Couples,2018,Percent,0.036,413
Queens Village,Single Mothers,2018,Percent,0.277,413
Queens Village,Single Fathers,2018,Percent,0.253,413
Queens Village,Grandparents,2018,Percent,0.13,413
Queens Village,Other,2018,Percent,0.121,413
The Rockaways,Married Couples,2018,Percent,0.092,414
The Rockaways,Single Mothers,2018,Percent,0.46,414
The Rockaways,Single Fathers,2018,Percent,0.25,414
The Rockaways,Grandparents,2018,Percent,0.318,414
The Rockaways,Other,2018,Percent,0.29,414
St. George,Married Couples,2018,Percent,0.164,501
St. George,Single Mothers,2018,Percent,0.651,501
St. George,Single Fathers,2018,Percent,0.128,501
St. George,Grandparents,2018,Percent,0.007,501
St. George,Other,2018,Percent,0.293,501
South Beach,Married Couples,2018,Percent,0.138,502
South Beach,Single Mothers,2018,Percent,0.359,502
South Beach,Single Fathers,2018,Percent,0.125,502
South Beach,Grandparents,2018,Percent,0.082,502
South Beach,Other,2018,Percent,0.534,502
Tottenville,Married Couples,2018,Percent,0.073,503
Tottenville,Single Mothers,2018,Percent,0.215,503
Tottenville,Single Fathers,2018,Percent,0,503
Tottenville,Grandparents,2018,Percent,0,503
Tottenville,Other,2018,Percent,0.488,503
Bronx,Married Couples,2018,Percent,0.226,36005
Bronx,Single Mothers,2018,Percent,0.596,36005
Bronx,Single Fathers,2018,Percent,0.305,36005
Bronx,Grandparents,2018,Percent,0.326,36005
Bronx,Other,2018,Percent,0.292,36005
Brooklyn,Married Couples,2018,Percent,0.215,36047
Brooklyn,Single Mothers,2018,Percent,0.414,36047
Brooklyn,Single Fathers,2018,Percent,0.33,36047
Brooklyn,Grandparents,2018,Percent,0.196,36047
Brooklyn,Other,2018,Percent,0.213,36047
Manhattan,Married Couples,2018,Percent,0.077,36061
Manhattan,Single Mothers,2018,Percent,0.517,36061
Manhattan,Single Fathers,2018,Percent,0.211,36061
Manhattan,Grandparents,2018,Percent,0.341,36061
Manhattan,Other,2018,Percent,0.301,36061
Queens,Married Couples,2018,Percent,0.104,36081
Queens,Single Mothers,2018,Percent,0.308,36081
Queens,Single Fathers,2018,Percent,0.192,36081
Queens,Grandparents,2018,Percent,0.145,36081
Queens,Other,2018,Percent,0.225,36081
Staten Island,Married Couples,2018,Percent,0.123,36085
Staten Island,Single Mothers,2018,Percent,0.481,36085
Staten Island,Single Fathers,2018,Percent,0.097,36085
Staten Island,Grandparents,2018,Percent,0.026,36085
Staten Island,Other,2018,Percent,0.403,36085
New York City,Married Couples,2018,Percent,0.158,3651000
New York City,Single Mothers,2018,Percent,0.472,3651000
New York City,Single Fathers,2018,Percent,0.265,3651000
New York City,Grandparents,2018,Percent,0.224,3651000
New York City,Other,2018,Percent,0.252,3651000
Battery Park/Tribeca,Grandparents,2019,Number,0,101
Greenwich Village,Grandparents,2019,Number,0,102
Lower East Side,Grandparents,2019,Number,747,103
Chelsea/Clinton,Grandparents,2019,Number,277.90938,104
Midtown Business District,Grandparents,2019,Number,139.09062,105
Murray Hill/Stuyvesant,Grandparents,2019,Number,41,106
Upper West Side,Grandparents,2019,Number,0,107
Upper East Side,Grandparents,2019,Number,0,108
Manhattanville,Grandparents,2019,Number,649,109
Central Harlem,Grandparents,2019,Number,966,110
East Harlem,Grandparents,2019,Number,466,111
Washington Heights,Grandparents,2019,Number,984,112
Mott Haven,Grandparents,2019,Number,961.79965,201
Hunts Point,Grandparents,2019,Number,549.20035,202
Morrisania,Grandparents,2019,Number,626.23664,203
Concourse/Highbridge,Grandparents,2019,Number,540,204
University Heights,Grandparents,2019,Number,809,205
East Tremont,Grandparents,2019,Number,653.76336,206
Bedford Park,Grandparents,2019,Number,1505,207
Riverdale,Grandparents,2019,Number,230,208
Unionport/Soundview,Grandparents,2019,Number,1041,209
Throgs Neck,Grandparents,2019,Number,122,210
Pelham Parkway,Grandparents,2019,Number,499,211
Williamsbridge,Grandparents,2019,Number,868,212
Williamsburg/Greenpoint,Grandparents,2019,Number,35,301
Fort Greene/Brooklyn Hts,Grandparents,2019,Number,150,302
Bedford Stuyvesant,Grandparents,2019,Number,396,303
Bushwick,Grandparents,2019,Number,1325,304
East New York,Grandparents,2019,Number,655,305
Park Slope,Grandparents,2019,Number,300,306
Sunset Park,Grandparents,2019,Number,901,307
Crown Heights North,Grandparents,2019,Number,188,308
Crown Heights South,Grandparents,2019,Number,342,309
Bay Ridge,Grandparents,2019,Number,131,310
Bensonhurst,Grandparents,2019,Number,286,311
Borough Park,Grandparents,2019,Number,425,312
Coney Island,Grandparents,2019,Number,582,313
Flatbush/Midwood,Grandparents,2019,Number,83,314
Sheepshead Bay,Grandparents,2019,Number,68,315
Brownsville,Grandparents,2019,Number,438,316
East Flatbush,Grandparents,2019,Number,359,317
Canarsie,Grandparents,2019,Number,171,318
Astoria,Grandparents,2019,Number,206,401
Sunnyside/Woodside,Grandparents,2019,Number,0,402
Jackson Heights,Grandparents,2019,Number,594,403
Elmhurst/Corona,Grandparents,2019,Number,83,404
Ridgewood/Glendale,Grandparents,2019,Number,111,405
Rego Park/Forest Hills,Grandparents,2019,Number,0,406
Flushing,Grandparents,2019,Number,476,407
Fresh Meadows/Briarwood,Grandparents,2019,Number,463,408
Woodhaven,Grandparents,2019,Number,190,409
Howard Beach,Grandparents,2019,Number,222,410
Bayside,Grandparents,2019,Number,114,411
Jamaica/St. Albans,Grandparents,2019,Number,579,412
Queens Village,Grandparents,2019,Number,519,413
The Rockaways,Grandparents,2019,Number,426,414
St. George,Grandparents,2019,Number,23,501
South Beach,Grandparents,2019,Number,0,502
Tottenville,Grandparents,2019,Number,0,503
Bronx,Grandparents,2019,Number,8406,36005
Brooklyn,Grandparents,2019,Number,6835,36047
Manhattan,Grandparents,2019,Number,4270,36061
Queens,Grandparents,2019,Number,3983,36081
Staten Island,Grandparents,2019,Number,23,36085
New York City,Grandparents,2019,Number,23517,3651000
Battery Park/Tribeca,Grandparents,2019,Percent,0,101
Greenwich Village,Grandparents,2019,Percent,0,102
Lower East Side,Grandparents,2019,Percent,0.335,103
Chelsea/Clinton,Grandparents,2019,Percent,0.513,104
Midtown Business District,Grandparents,2019,Percent,0.513,105
Murray Hill/Stuyvesant,Grandparents,2019,Percent,0.175,106
Upper West Side,Grandparents,2019,Percent,0,107
Upper East Side,Grandparents,2019,Percent,0,108
Manhattanville,Grandparents,2019,Percent,0.223,109
Central Harlem,Grandparents,2019,Percent,0.439,110
East Harlem,Grandparents,2019,Percent,0.412,111
Washington Heights,Grandparents,2019,Percent,0.259,112
Mott Haven,Grandparents,2019,Percent,0.526,201
Hunts Point,Grandparents,2019,Percent,0.526,202
Morrisania,Grandparents,2019,Percent,0.361,203
Concourse/Highbridge,Grandparents,2019,Percent,0.232,204
University Heights,Grandparents,2019,Percent,0.378,205
East Tremont,Grandparents,2019,Percent,0.361,206
Bedford Park,Grandparents,2019,Percent,0.412,207
Riverdale,Grandparents,2019,Percent,0.146,208
Unionport/Soundview,Grandparents,2019,Percent,0.306,209
Throgs Neck,Grandparents,2019,Percent,0.061,210
Pelham Parkway,Grandparents,2019,Percent,0.309,211
Williamsbridge,Grandparents,2019,Percent,0.342,212
Williamsburg/Greenpoint,Grandparents,2019,Percent,0.062,301
Fort Greene/Brooklyn Hts,Grandparents,2019,Percent,0.143,302
Bedford Stuyvesant,Grandparents,2019,Percent,0.173,303
Bushwick,Grandparents,2019,Percent,0.357,304
East New York,Grandparents,2019,Percent,0.153,305
Park Slope,Grandparents,2019,Percent,0.452,306
Sunset Park,Grandparents,2019,Percent,0.443,307
Crown Heights North,Grandparents,2019,Percent,0.103,308
Crown Heights South,Grandparents,2019,Percent,0.178,309
Bay Ridge,Grandparents,2019,Percent,0.147,310
Bensonhurst,Grandparents,2019,Percent,0.207,311
Borough Park,Grandparents,2019,Percent,0.342,312
Coney Island,Grandparents,2019,Percent,0.407,313
Flatbush/Midwood,Grandparents,2019,Percent,0.061,314
Sheepshead Bay,Grandparents,2019,Percent,0.048,315
Brownsville,Grandparents,2019,Percent,0.297,316
East Flatbush,Grandparents,2019,Percent,0.152,317
Canarsie,Grandparents,2019,Percent,0.043,318
Astoria,Grandparents,2019,Percent,0.126,401
Sunnyside/Woodside,Grandparents,2019,Percent,0,402
Jackson Heights,Grandparents,2019,Percent,0.233,403
Elmhurst/Corona,Grandparents,2019,Percent,0.056,404
Ridgewood/Glendale,Grandparents,2019,Percent,0.054,405
Rego Park/Forest Hills,Grandparents,2019,Percent,0,406
Flushing,Grandparents,2019,Percent,0.171,407
Fresh Meadows/Briarwood,Grandparents,2019,Percent,0.245,408
Woodhaven,Grandparents,2019,Percent,0.11,409
Howard Beach,Grandparents,2019,Percent,0.092,410
Bayside,Grandparents,2019,Percent,0.165,411
Jamaica/St. Albans,Grandparents,2019,Percent,0.089,412
Queens Village,Grandparents,2019,Percent,0.116,413
The Rockaways,Grandparents,2019,Percent,0.156,414
St. George,Grandparents,2019,Percent,0.012,501
South Beach,Grandparents,2019,Percent,0,502
Tottenville,Grandparents,2019,Percent,0,503
Bronx,Grandparents,2019,Percent,0.328,36005
Brooklyn,Grandparents,2019,Percent,0.202,36047
Manhattan,Grandparents,2019,Percent,0.3,36061
Queens,Grandparents,2019,Percent,0.126,36081
Staten Island,Grandparents,2019,Percent,0.005,36085
New York City,Grandparents,2019,Percent,0.213,3651000
Battery Park/Tribeca,Married Couples,2019,Number,111.46091,101
Greenwich Village,Married Couples,2019,Number,164.53909,102
Lower East Side,Married Couples,2019,Number,660,103
Chelsea/Clinton,Married Couples,2019,Number,85.97197,104
Midtown Business District,Married Couples,2019,Number,43.02803,105
Murray Hill/Stuyvesant,Married Couples,2019,Number,371,106
Upper West Side,Married Couples,2019,Number,171,107
Upper East Side,Married Couples,2019,Number,258,108
Manhattanville,Married Couples,2019,Number,813,109
Central Harlem,Married Couples,2019,Number,971,110
East Harlem,Married Couples,2019,Number,776,111
Washington Heights,Married Couples,2019,Number,2440,112
Mott Haven,Married Couples,2019,Number,1924.87236,201
Hunts Point,Married Couples,2019,Number,1099.12764,202
Morrisania,Married Couples,2019,Number,913.42485,203
Concourse/Highbridge,Married Couples,2019,Number,2460,204
University Heights,Married Couples,2019,Number,2576,205
East Tremont,Married Couples,2019,Number,953.57515,206
Bedford Park,Married Couples,2019,Number,3452,207
Riverdale,Married Couples,2019,Number,898,208
Unionport/Soundview,Married Couples,2019,Number,1830,209
Throgs Neck,Married Couples,2019,Number,248,210
Pelham Parkway,Married Couples,2019,Number,831,211
Williamsbridge,Married Couples,2019,Number,399,212
Williamsburg/Greenpoint,Married Couples,2019,Number,6188,301
Fort Greene/Brooklyn Hts,Married Couples,2019,Number,599,302
Bedford Stuyvesant,Married Couples,2019,Number,4217,303
Bushwick,Married Couples,2019,Number,1361,304
East New York,Married Couples,2019,Number,1910,305
Park Slope,Married Couples,2019,Number,360,306
Sunset Park,Married Couples,2019,Number,2612,307
Crown Heights North,Married Couples,2019,Number,767,308
Crown Heights South,Married Couples,2019,Number,1730,309
Bay Ridge,Married Couples,2019,Number,1832,310
Bensonhurst,Married Couples,2019,Number,4534,311
Borough Park,Married Couples,2019,Number,11926,312
Coney Island,Married Couples,2019,Number,1957,313
Flatbush/Midwood,Married Couples,2019,Number,2232,314
Sheepshead Bay,Married Couples,2019,Number,2901,315
Brownsville,Married Couples,2019,Number,679,316
East Flatbush,Married Couples,2019,Number,293,317
Canarsie,Married Couples,2019,Number,664,318
Astoria,Married Couples,2019,Number,1438,401
Sunnyside/Woodside,Married Couples,2019,Number,876,402
Jackson Heights,Married Couples,2019,Number,1981,403
Elmhurst/Corona,Married Couples,2019,Number,1958,404
Ridgewood/Glendale,Married Couples,2019,Number,1371,405
Rego Park/Forest Hills,Married Couples,2019,Number,727,406
Flushing,Married Couples,2019,Number,2390,407
Fresh Meadows/Briarwood,Married Couples,2019,Number,2273,408
Woodhaven,Married Couples,2019,Number,1425,409
Howard Beach,Married Couples,2019,Number,536,410
Bayside,Married Couples,2019,Number,478,411
Jamaica/St. Albans,Married Couples,2019,Number,1346,412
Queens Village,Married Couples,2019,Number,385,413
The Rockaways,Married Couples,2019,Number,1383,414
St. George,Married Couples,2019,Number,1780,501
South Beach,Married Couples,2019,Number,2684,502
Tottenville,Married Couples,2019,Number,1805,503
Bronx,Married Couples,2019,Number,17585,36005
Brooklyn,Married Couples,2019,Number,46763,36047
Manhattan,Married Couples,2019,Number,6864,36061
Queens,Married Couples,2019,Number,18565,36081
Staten Island,Married Couples,2019,Number,6269,36085
New York City,Married Couples,2019,Number,96046,3651000
Battery Park/Tribeca,Married Couples,2019,Percent,0.026,101
Greenwich Village,Married Couples,2019,Percent,0.026,102
Lower East Side,Married Couples,2019,Percent,0.154,103
Chelsea/Clinton,Married Couples,2019,Percent,0.02,104
Midtown Business District,Married Couples,2019,Percent,0.02,105
Murray Hill/Stuyvesant,Married Couples,2019,Percent,0.059,106
Upper West Side,Married Couples,2019,Percent,0.01,107
Upper East Side,Married Couples,2019,Percent,0.016,108
Manhattanville,Married Couples,2019,Percent,0.126,109
Central Harlem,Married Couples,2019,Percent,0.155,110
East Harlem,Married Couples,2019,Percent,0.193,111
Washington Heights,Married Couples,2019,Percent,0.21,112
Mott Haven,Married Couples,2019,Percent,0.382,201
